Museum,SpecimenPfx,SpecimenNumber,SpecimenSfx,RecordNumber,FieldNumber,YearFound,StudyArea,Locality,CollectingArea,AreaModifier,Formation,Member,Level,StratigraphicUnit,Excavation,SqrNmbr,Class,Order,Family,FamilyCode,Subfamily,TribeCode,Tribe,GenusCode,GenusQualifier,Genus,SpeciesQualifier,Species,BodyElement,Side,BodyElementCode,PartDescription,PublicationAuthor,YearPublished,YearPublishedSfx
KNM,ER,1214,,1,71-155,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Cranium,Lt. and Rt.,28,nearly complete with Lt. and Rt. P2-M3 complete,J. Harris,1991,d
KNM,ER,1214,,2,71-155,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Mandible,Lt. and Rt.,30,"nearly complete, with tooth roots and Lt. M2-M3 complete",J. Harris,1991,d
KNM,ER,1215,A,1,71-336,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Giraffidae,66,Sivatheriinae,,Sivatheriini,2,,Sivatherium,,maurusium,Maxilla,Rt.,29,"fragment with P2 complete, P3 frag., P4-M3 complete",J. Harris,1991,c
KNM,ER,1215,B,2,71-336,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Giraffidae,66,Sivatheriinae,,Sivatheriini,2,,Sivatherium,,maurusium,Mandible,Rt.,30,fragment with P4 complete,J. Harris,1991,c
KNM,ER,1221,,,71-446,1971,East Turkana,Ileret,7,,Koobi Fora,Unknown,,,,,Mammalia,Perissodactyla,Equidae,61,,,,2,,Hipparion,,hasumense,Mandible,Lt. and Rt.,30,"fragment with symphysis, Lt. I1-I2, C frags.; Rt. C frag.",V. Eisenmann,1983,
KNM,ER,1222,,,71-447,1971,East Turkana,Ileret,1,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,Mandible,Rt.,30,fragment with P3-P4 complete,V. Eisenmann,1983,
KNM,ER,1223,A,1,71-448,1971,East Turkana,Ileret,1,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,LM3,Lt.,15,complete,V. Eisenmann,1983,
KNM,ER,1223,B,2,71-448,1971,East Turkana,Ileret,1,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,LP4,Lt.,11,complete,V. Eisenmann,1983,
KNM,ER,1224,,,71-449,1971,East Turkana,Ileret,6,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,LP2,Lt.,9,complete,V. Eisenmann,1983,
KNM,ER,1225,A,1,71-450,1971,East Turkana,,,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,UP3 or UP4,Lt.,7,nearly complete,V. Eisenmann,1983,
